game_id,rated,turns,victory_status,winner,White Rating,Black Rating,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response
48,FALSE,7,Resign,White,1343,978,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,
49,FALSE,35,Mate,White,2436,978,B77,17,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,Sicilian Defense,
50,FALSE,41,Mate,White,2436,978,B01,4,Scandinavian Defense: Mieses-Kotroc Variation,Scandinavian Defense,
51,FALSE,5,Resign,Black,978,1500,C00,3,French Defense: Normal Variation,French Defense,
52,FALSE,7,Resign,White,1500,978,C21,4,King's Pawn Game: Beyer Gambit,King's Pawn Game,
53,FALSE,53,Mate,White,978,1500,A80,2,Dutch Defense,Dutch Defense,
54,FALSE,36,Resign,Black,1500,978,A20,2,English Opening: King's English Variation,English Opening,
55,TRUE,8,Resign,White,1521,1162,A04,2,Zukertort Opening: Ross Gambit,Zukertort Opening,
56,TRUE,3,Resign,White,1407,1500,B23,3,Sicilian Defense: Closed Variation,Sicilian Defense,
57,TRUE,28,Resign,White,1492,1458,C26,5,Vienna Game: Mengarini Variation,Vienna Game,
58,TRUE,30,Resign,Black,1414,1442,C41,8,Philidor Defense: Larsen Variation,Philidor Defense,
59,TRUE,44,Resign,Black,1457,1294,C44,5,Scotch Game,Scotch Game,
60,TRUE,29,Resign,White,1525,1466,C41,6,Philidor Defense: Lopez Countergambit,Philidor Defense,
61,TRUE,37,Resign,Black,1207,1579,C00,3,French Defense: Knight Variation,French Defense,
62,TRUE,49,Resign,White,1567,1573,A40,2,Modern Defense,Modern Defense,
63,TRUE,32,Resign,Black,1578,1605,A40,2,Horwitz Defense,Horwitz Defense,
64,TRUE,25,Resign,White,1939,1581,E10,6,Blumenfeld Countergambit #2,Blumenfeld Countergambit,
65,TRUE,40,Mate,Black,1618,1568,C00,2,French Defense #2,French Defense,
66,TRUE,39,Resign,White,1755,1574,A04,2,Zukertort Opening: Kingside Fianchetto,Zukertort Opening,
67,TRUE,57,Resign,White,1561,1596,A45,2,Indian Game,Indian Game,
68,TRUE,78,Resign,Black,1500,1554,C00,3,French Defense: Queen's Knight,French Defense,
69,TRUE,61,Resign,White,1544,1461,D00,3,Queen's Pawn Game: Mason Attack,Queen's Pawn Game,
70,TRUE,44,Resign,Black,1563,1335,D00,3,Queen's Pawn Game: Mason Attack,Queen's Pawn Game,
71,TRUE,62,Mate,Black,1579,1470,A41,2,Queen's Pawn,Queen's Pawn,
72,TRUE,87,Mate,White,1617,1590,A45,2,Indian Game,Indian Game,
73,TRUE,54,Mate,Black,1207,1588,C02,7,French Defense: Advance |  Steinitz Variation,French Defense,
74,TRUE,54,Resign,Black,1595,1547,D00,3,Queen's Pawn Game: Mason Attack,Queen's Pawn Game,
75,TRUE,37,Resign,White,1855,1599,C01,5,French Defense: Exchange Variation,French Defense,
76,TRUE,50,Resign,White,1589,1547,A40,2,Horwitz Defense,Horwitz Defense,
77,TRUE,131,Resign,White,1571,1728,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
78,TRUE,48,Resign,White,1720,1579,C00,3,French Defense: Chigorin Variation,French Defense,
79,TRUE,47,Resign,Black,1579,2105,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
80,TRUE,64,Mate,Black,1768,1560,C00,3,French Defense: La Bourdonnais Variation,French Defense,
81,TRUE,61,Resign,White,1552,1436,D00,3,Queen's Pawn Game: Mason Attack,Queen's Pawn Game,
82,TRUE,57,Mate,White,1536,1667,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
83,TRUE,51,Resign,White,1521,1549,A10,2,English Opening: Anglo-Lithuanian Variation,English Opening,
84,TRUE,58,Mate,Black,1251,1545,A00,3,Crab Opening,Crab Opening,
85,TRUE,71,Resign,White,1537,1408,D00,3,Queen's Pawn Game: Mason Attack,Queen's Pawn Game,
86,TRUE,114,Resign,White,1522,1512,A40,1,Queen's Pawn,Queen's Pawn,
87,TRUE,39,Resign,White,1602,1532,C18,11,French Defense: Winawer Variation |  Advance Variation #2,French Defense,
88,TRUE,20,Resign,Black,1543,1593,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
89,TRUE,48,Resign,Black,1556,1539,D00,3,Queen's Pawn Game: Mason Attack,Queen's Pawn Game,
90,TRUE,34,Mate,Black,1409,1548,C00,3,French Defense: Knight Variation,French Defense,
91,TRUE,51,Resign,White,1539,1418,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
92,TRUE,69,Resign,White,1603,1550,C00,3,French Defense: Queen's Knight,French Defense,
93,TRUE,28,Resign,White,1542,1399,D00,4,Queen's Pawn Game: Steinitz Countergambit,Queen's Pawn Game,
94,TRUE,62,Resign,Black,1546,1877,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
95,TRUE,62,Mate,Black,1134,1535,A47,4,Queen's Indian Defense,Queen's Indian Defense,
96,TRUE,85,Mate,White,1513,1784,A40,2,Horwitz Defense,Horwitz Defense,
97,TRUE,38,Resign,White,1501,1445,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
98,FALSE,14,Resign,White,1500,1500,C50,8,Italian Game: Giuoco Pianissimo |  Normal,Italian Game,
99,TRUE,113,Draw,Draw,1745,1714,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused
100,TRUE,62,Resign,White,1734,1748,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused
101,TRUE,101,Resign,White,1942,1739,C10,6,French Defense: Marshall Variation,French Defense,
102,TRUE,75,Out of Time,White,1724,1855,C45,7,Scotch Game,Scotch Game,
103,TRUE,135,Mate,White,1951,1729,C02,11,French Defense: Advance Variation |  Main Line,French Defense,
104,TRUE,81,Out of Time,White,1726,1388,C41,5,Philidor Defense,Philidor Defense,
105,TRUE,46,Resign,Black,1735,1806,D80,6,Gruenfeld Defense,Gruenfeld Defense,
106,TRUE,70,Mate,Black,1597,1728,C00,3,French Defense: Knight Variation,French Defense,
107,TRUE,39,Resign,White,1743,1738,C10,10,French Defense: Rubinstein Variation |  Fort Knox Variation,French Defense,
108,TRUE,91,Resign,White,1721,1750,D30,7,Queen's Gambit Declined: Traditional Variation,Queen's Gambit,Declined
109,TRUE,137,Out of Time,White,1746,1487,D20,5,Queen's Gambit Accepted: Old Variation,Queen's Gambit,Accepted
110,TRUE,46,Resign,Black,1744,1735,C02,9,French Defense: Advance Variation |  Paulsen Attack,French Defense,
111,TRUE,18,Resign,Black,1749,1631,D41,9,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,Queen's Gambit,Declined
112,TRUE,28,Resign,Black,1769,1396,D20,5,Queen's Gambit Accepted: Old Variation,Queen's Gambit,Accepted
113,TRUE,40,Resign,Black,1795,1760,A46,5,Yusupov-Rubinstein System,Yusupov-Rubinstein System,
114,TRUE,111,Mate,White,1729,1795,D31,5,Queen's Gambit Declined: Queen's Knight Variation,Queen's Gambit,Declined
115,TRUE,54,Mate,Black,1795,1784,C64,6,Ruy Lopez: Classical Variation,Ruy Lopez,
116,TRUE,33,Resign,White,1770,1872,D02,3,Queen's Pawn Game: Zukertort Variation,Queen's Pawn Game,
117,TRUE,90,Resign,Black,1783,1721,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
118,TRUE,90,Resign,Black,1884,1768,C64,7,Ruy Lopez: Classical Variation |  Central Variation,Ruy Lopez,
119,TRUE,40,Mate,Black,1756,1756,C24,5,Bishop's Opening: Ponziani Gambit,Bishop's Opening,
120,TRUE,49,Out of Time,White,1724,1958,A43,5,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,Benoni Defense,
121,TRUE,50,Resign,Black,2036,1706,A08,6,King's Indian Attack: French Variation,King's Indian Attack,
122,TRUE,59,Mate,White,1706,925,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
123,TRUE,26,Out of Time,Black,1244,1219,B00,4,Nimzowitsch Defense: Mikenas Variation,Nimzowitsch Defense,
124,TRUE,23,Mate,White,1215,921,C50,5,Italian Game,Italian Game,
125,TRUE,118,Mate,Black,1350,1201,B03,5,Alekhine Defense #2,Alekhine Defense,
126,TRUE,66,Mate,Black,1210,1280,B29,4,Sicilian Defense: Nimzowitsch Variation,Sicilian Defense,
127,TRUE,120,Draw,Draw,1139,1212,C50,8,Four Knights Game: Italian Variation,Four Knights Game,
128,TRUE,36,Mate,Black,1220,1341,C57,11,Italian Game: Two Knights Defense |  Fried Liver Attack,Italian Game,
129,TRUE,26,Mate,Black,1234,1359,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
130,TRUE,62,Resign,Black,1275,1236,C57,11,Italian Game: Two Knights Defense |  Fried Liver Attack,Italian Game,
131,TRUE,37,Resign,White,1433,1282,B02,3,Alekhine Defense: Maroczy Variation,Alekhine Defense,
132,TRUE,24,Resign,Black,1132,1276,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused
133,FALSE,47,Resign,White,1276,1308,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
134,TRUE,37,Resign,Black,1228,1266,B02,7,Alekhine Defense: Two Pawn Attack |  Lasker Variation,Alekhine Defense,
135,TRUE,24,Resign,Black,1273,1409,B13,5,Caro-Kann Defense: Exchange Variation,Caro-Kann Defense,
136,TRUE,9,Resign,White,1338,1277,D00,3,Queen's Pawn Game #2,Queen's Pawn Game,
137,TRUE,47,Mate,White,1263,1336,B57,8,Sicilian Defense: Modern Variations |  Main Line,Sicilian Defense,
138,TRUE,85,Mate,White,1316,1273,A20,2,English Opening: King's English Variation,English Opening,
139,TRUE,39,Mate,White,1248,1253,B00,2,Goldsmith Defense,Goldsmith Defense,
140,TRUE,58,Mate,Black,1335,1233,E20,6,Nimzo-Indian Defense,Nimzo-Indian Defense,
141,TRUE,95,Mate,White,1223,1189,C57,11,Italian Game: Two Knights Defense |  Fried Liver Attack,Italian Game,
142,TRUE,2,Resign,Black,1443,1204,B02,2,Alekhine Defense,Alekhine Defense,
143,TRUE,97,Mate,White,1227,1216,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused
144,TRUE,12,Draw,Draw,1215,1219,C50,5,Italian Game,Italian Game,
145,TRUE,30,Resign,White,1227,1227,C50,8,Four Knights Game: Italian Variation,Four Knights Game,
146,TRUE,43,Mate,White,1550,1225,E11,8,Bogo-Indian Defense: Exchange Variation,Bogo-Indian Defense,
147,TRUE,11,Resign,White,1325,1234,B02,2,Alekhine Defense,Alekhine Defense,
148,TRUE,72,Mate,Black,1212,1221,B02,5,Alekhine Defense: Saemisch Attack,Alekhine Defense,
149,TRUE,156,Mate,Black,1226,1478,C40,3,King's Knight Opening,King's Knight Opening,
150,TRUE,18,Resign,Black,1228,1626,D30,4,Queen's Gambit Declined,Queen's Gambit,Declined
151,FALSE,77,Mate,White,1191,1228,C11,7,French Defense: Classical Variation |  Steinitz Variation,French Defense,
152,TRUE,32,Resign,Black,1422,1210,B02,5,Alekhine Defense: Two Pawn Attack,Alekhine Defense,
153,TRUE,35,Resign,White,1186,1223,C28,5,Vienna Game: Vienna Gambit,Vienna Game,
154,TRUE,85,Mate,White,1212,1212,B06,2,Modern Defense,Modern Defense,
155,TRUE,50,Resign,Black,1228,1343,B01,6,Scandinavian Defense: Panov Transfer,Scandinavian Defense,
156,TRUE,111,Resign,White,1865,1862,A46,5,Yusupov-Rubinstein System,Yusupov-Rubinstein System,
157,TRUE,65,Out of Time,White,1852,1852,B30,5,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Sicilian Defense,
158,TRUE,73,Resign,White,1833,1863,A56,4,Benoni Defense,Benoni Defense,
159,TRUE,125,Resign,White,1851,1918,B27,4,Sicilian Defense: Hyperaccelerated Dragon,Sicilian Defense,
160,TRUE,76,Resign,Black,1861,1844,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
161,TRUE,65,Out of Time,White,1853,1774,C65,6,Ruy Lopez: Berlin Defense #2,Ruy Lopez,
162,TRUE,41,Mate,White,1910,1862,B90,11,Sicilian Defense: Najdorf |  Lipnitsky Attack,Sicilian Defense,
163,TRUE,59,Resign,White,1851,1890,C00,3,French Defense: Knight Variation,French Defense,
164,TRUE,70,Resign,Black,1860,1840,B50,5,Sicilian Defense: Delayed Alapin,Sicilian Defense,
165,TRUE,34,Resign,White,1828,1848,B51,5,Sicilian Defense: Canal-Sokolsky Attack,Sicilian Defense,
166,TRUE,69,Out of Time,White,1855,1858,E00,1,Amar Opening,Amar Opening,
167,TRUE,63,Resign,White,1847,1895,C70,8,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,Ruy Lopez,
168,TRUE,107,Resign,White,1885,1856,B50,4,Sicilian Defense,Sicilian Defense,
169,TRUE,58,Resign,White,1847,1802,A40,1,Queen's Pawn,Queen's Pawn,
170,FALSE,34,Resign,Black,1847,1856,B11,6,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,Caro-Kann Defense,
171,TRUE,100,Out of Time,Black,1840,1837,B22,3,Sicilian Defense: Alapin Variation,Sicilian Defense,
172,TRUE,80,Resign,Black,1848,1806,B40,4,Sicilian Defense: French Variation,Sicilian Defense,
173,TRUE,44,Resign,Black,1860,1820,C00,3,French Defense: Knight Variation,French Defense,
174,TRUE,40,Out of Time,Black,1854,1849,A45,3,Paleface Attack,Paleface Attack,
175,TRUE,105,Out of Time,White,1895,1859,B50,4,Sicilian Defense,Sicilian Defense,
176,TRUE,50,Resign,Black,1866,1965,B31,6,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,Sicilian Defense,
177,FALSE,144,Out of Time,Draw,1866,1843,B50,4,Sicilian Defense,Sicilian Defense,
178,FALSE,81,Resign,Black,1835,1866,B18,11,Caro-Kann Defense: Classical Variation |  Flohr Variation,Caro-Kann Defense,
179,TRUE,69,Resign,Black,1877,1860,C61,6,Ruy Lopez: Bird Variation,Ruy Lopez,
180,TRUE,77,Mate,White,1849,1874,B90,11,Sicilian Defense: Najdorf Variation |  Adams Attack,Sicilian Defense,
181,TRUE,158,Mate,Black,1835,1865,E10,6,Blumenfeld Countergambit #2,Blumenfeld Countergambit,
182,TRUE,107,Draw,Draw,1866,1835,C55,7,Italian Game: Two Knights Defense |  Modern Bishop's Opening,Italian Game,
183,TRUE,117,Mate,White,1856,1829,C78,12,Ruy Lopez: Morphy Defense #2,Ruy Lopez,
184,TRUE,44,Resign,White,1845,1846,C70,8,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,Ruy Lopez,
185,TRUE,40,Resign,Black,1834,1835,B30,4,Sicilian Defense: Old Sicilian,Sicilian Defense,
186,TRUE,59,Resign,White,1846,1845,B10,2,Caro-Kann Defense,Caro-Kann Defense,
187,FALSE,110,Resign,Black,1845,1917,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused
188,TRUE,30,Resign,Black,1858,1790,B01,4,Scandinavian Defense: Mieses-Kotroc Variation,Scandinavian Defense,
189,TRUE,54,Resign,Black,1871,1847,B30,4,Sicilian Defense: Old Sicilian,Sicilian Defense,
190,TRUE,69,Resign,Black,1846,1869,C41,5,Philidor Defense,Philidor Defense,
191,TRUE,178,Mate,Black,1843,1836,B22,3,Sicilian Defense: Alapin Variation,Sicilian Defense,
192,TRUE,136,Resign,Black,1800,1826,B20,2,Sicilian Defense,Sicilian Defense,
193,FALSE,124,Mate,Black,1283,1267,B30,5,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Sicilian Defense,
194,TRUE,96,Resign,Black,1290,1270,A00,1,Hungarian Opening,Hungarian Opening,
195,TRUE,53,Out of Time,White,1331,1281,D00,4,Queen's Pawn Game #3,Queen's Pawn Game,
196,TRUE,39,Mate,White,1304,1292,A00,1,Van't Kruijs Opening,Van't Kruijs Opening,
197,TRUE,10,Mate,Black,1305,1293,C00,3,French Defense: Normal Variation,French Defense,
198,TRUE,51,Mate,White,1308,1317,C22,8,Center Game: Berger Variation,Center Game,
199,TRUE,18,Resign,Black,1296,1305,C54,13,Italian Game: Giuoco Piano |  Greco's Attack,Italian Game,
200,FALSE,106,Mate,Black,968,1305,C50,8,Four Knights Game: Italian Variation,Four Knights Game,
201,FALSE,38,Mate,Black,1293,1466,C41,5,Philidor Defense #3,Philidor Defense,
202,TRUE,59,Mate,White,1500,1299,C68,7,Ruy Lopez: Exchange Variation,Ruy Lopez,
203,TRUE,111,Mate,White,1288,1232,B12,3,Caro-Kann Defense,Caro-Kann Defense,
204,TRUE,28,Resign,Black,1289,2108,C77,9,Ruy Lopez: Morphy Defense |  Tarrasch Variation,Ruy Lopez,
205,FALSE,101,Out of Time,White,1431,1289,C22,6,Center Game: Normal Variation,Center Game,
206,FALSE,15,Mate,White,1806,1289,C45,7,Scotch Game,Scotch Game,
207,FALSE,42,Resign,White,1289,1311,C41,5,Philidor Defense #3,Philidor Defense,
208,FALSE,118,Resign,Black,1431,1289,A40,3,Englund Gambit Declined |  Reversed French,Englund Gambit,Declined
209,FALSE,34,Resign,Black,1289,1484,C50,6,Giuoco Piano,Giuoco Piano,
210,FALSE,60,Resign,Black,1289,1810,A42,5,Sicilian Defense: Hyperaccelerated Fianchetto,Sicilian Defense,
211,FALSE,66,Resign,Black,1806,1289,C44,5,Scotch Game,Scotch Game,
212,FALSE,21,Out of Time,White,1289,1500,C41,5,Philidor Defense #3,Philidor Defense,
213,TRUE,73,Mate,White,1409,1297,C70,8,Ruy Lopez: Morphy Defense |  Caro Variation,Ruy Lopez,
214,TRUE,159,Mate,White,1280,1485,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
215,FALSE,74,Resign,White,1280,1211,B01,4,Scandinavian Defense: Mieses-Kotroc Variation,Scandinavian Defense,
216,FALSE,28,Mate,Black,1211,1280,A00,3,Crab Opening,Crab Opening,
217,TRUE,112,Mate,Black,1281,1765,C41,6,Philidor Defense #4,Philidor Defense,
218,TRUE,104,Resign,Black,1288,1454,C42,4,Petrov's Defense,Petrov's Defense,
219,TRUE,40,Mate,Black,1560,1270,D07,5,Queen's Gambit Refused: Chigorin Defense #2,Queen's Gambit,Refused
220,TRUE,44,Mate,Black,1274,1534,B27,4,Sicilian Defense: Jalalabad Variation,Sicilian Defense,
221,TRUE,150,Draw,Draw,1259,1663,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
222,TRUE,60,Mate,Black,1614,1238,D02,5,Queen's Pawn Game: London System,Queen's Pawn Game,
223,TRUE,37,Mate,White,1221,1417,C02,11,French Defense: Advance Variation |  Milner-Barry Gambit,French Defense,
224,TRUE,88,Out of Time,Black,1222,1732,B32,7,Sicilian Defense: Open #3,Sicilian Defense,
225,TRUE,113,Mate,White,1232,1234,C68,7,Ruy Lopez: Exchange Variation,Ruy Lopez,
226,TRUE,55,Mate,White,1240,1219,C42,8,Russian Game: Damiano Variation |  Kholmov Gambit,Russian Game,
227,TRUE,135,Mate,White,1590,1600,A22,5,English Opening: Carls-Bremen System,English Opening,
228,TRUE,137,Draw,Draw,1568,1617,C50,5,Italian Game,Italian Game,
229,TRUE,97,Out of Time,White,1500,1358,C46,6,Four Knights Game,Four Knights Game,
230,FALSE,33,Resign,Black,1384,1325,B07,2,Pirc Defense #4,Pirc Defense,
231,FALSE,29,Resign,Black,1384,1265,A06,3,Zukertort Opening: Old Indian Attack,Zukertort Opening,
232,FALSE,55,Resign,Black,1384,1950,A04,2,Zukertort Opening: Sicilian Invitation,Zukertort Opening,
233,TRUE,91,Resign,White,1377,1249,B01,4,Scandinavian Defense: Mieses-Kotroc Variation,Scandinavian Defense,
234,TRUE,53,Resign,White,1375,1389,C20,4,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,King's Pawn Game,
235,TRUE,49,Mate,White,1378,1361,C41,5,Philidor Defense,Philidor Defense,
236,TRUE,48,Mate,Black,1261,1371,B07,4,King's Pawn Game: Maroczy Defense,King's Pawn Game,
237,TRUE,20,Resign,Black,1380,1429,B30,4,Sicilian Defense: Old Sicilian,Sicilian Defense,
238,TRUE,87,Mate,White,1369,1368,C42,6,Russian Game: Damiano Variation,Russian Game,
239,TRUE,11,Resign,White,1290,1371,C77,9,Ruy Lopez: Morphy Defense |  Mackenzie Variation,Ruy Lopez,
240,TRUE,110,Draw,Draw,1372,1326,B00,2,St. George Defense,St. George Defense,
241,TRUE,24,Resign,White,1361,1383,A00,1,Van't Kruijs Opening,Van't Kruijs Opening,
242,TRUE,23,Resign,White,1217,1399,A22,4,English Opening: King's English Variation |  Two Knights Variation,English Opening,
243,TRUE,81,Mate,White,1387,1447,C60,5,Ruy Lopez,Ruy Lopez,
244,FALSE,34,Resign,Black,1474,1387,B01,2,Scandinavian Defense,Scandinavian Defense,
245,TRUE,103,Mate,White,1377,1351,C41,4,Philidor Defense #2,Philidor Defense,
246,TRUE,29,Resign,Black,1389,1339,C40,4,King's Pawn Game: McConnell Defense,King's Pawn Game,
247,FALSE,22,Resign,Black,1389,1400,C41,4,Philidor Defense #2,Philidor Defense,
248,FALSE,38,Resign,White,1849,1389,C44,5,Scotch Game,Scotch Game,
249,TRUE,46,Mate,Black,1395,1378,C50,9,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,Italian Game,
250,TRUE,23,Out of Time,White,1370,1257,C61,6,Ruy Lopez: Bird Variation,Ruy Lopez,
251,TRUE,31,Resign,White,1360,1332,B00,5,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,Nimzowitsch Defense,
252,FALSE,51,Resign,White,1311,1360,C21,4,King's Pawn Game: Beyer Gambit,King's Pawn Game,
253,FALSE,87,Mate,White,1714,1360,C64,6,Ruy Lopez: Classical Variation,Ruy Lopez,
254,TRUE,31,Mate,White,1354,1217,C50,5,Italian Game,Italian Game,
255,TRUE,38,Resign,Black,1245,1346,D20,5,Queen's Gambit Accepted: Old Variation,Queen's Gambit,Accepted
256,FALSE,43,Resign,White,1346,1099,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,
257,TRUE,105,Resign,White,1336,1287,A07,4,King's Indian Attack: Keres Variation #2,King's Indian Attack,
258,FALSE,87,Out of Time,White,1580,1555,A10,2,English Opening: Anglo-Scandinavian Defense,English Opening,
259,FALSE,36,Mate,Black,1555,1580,B40,6,Sicilian Defense: Marshall Counterattack,Sicilian Defense,
260,TRUE,38,Resign,Black,1649,1547,C02,6,French Defense: Advance Variation #4,French Defense,
261,TRUE,110,Resign,Black,1426,1527,C00,3,French Defense: Knight Variation,French Defense,
